donor_id,condition,state,cell_count,state_fraction,n_paired_donors,paired_median_delta,paired_wilcoxon_P,paired_BH_FDR,paired_direction
C162,tumor,other epithelial annotation,2.0,0.0012232415902140672,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C162,tumor,secretory-like annotation,1389.0,0.8495412844036697,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C165,normal,enterocyte-like annotation,184.0,0.5696594427244582,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C165,normal,other epithelial annotation,11.0,0.034055727554179564,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C165,normal,secretory-like annotation,128.0,0.39628482972136225,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C165,tumor,enterocyte-like annotation,1.0,0.003205128205128205,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C165,tumor,other epithelial annotation,0.0,0.0,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C165,tumor,secretory-like annotation,311.0,0.9967948717948718,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C170,normal,enterocyte-like annotation,29.0,0.2396694214876033,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C170,normal,other epithelial annotation,23.0,0.19008264462809918,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C170,normal,secretory-like annotation,69.0,0.5702479338842975,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C170,tumor,enterocyte-like annotation,14.0,0.3783783783783784,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C170,tumor,other epithelial annotation,2.0,0.05405405405405406,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C170,tumor,secretory-like annotation,21.0,0.5675675675675675,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
